"Title","Primary Author","ISBN"
"Seabiscuit: An American Legend","Hillenbrand, Laura","[0375502912]"
"James Herriot's Cat Stories","Herriot, James","[1567315751]"
"How To Do Just About Everything","Rosen, Courtney","[0743211103]"
"Rodale's Garden Answers: Vegetables, Fruits, and Herbs : At-A-Glance Solutions for Every Gardening Problem","Bradley, Fern Marshall","[087596639X]"
"National Geographic Complete Birds of North America: Companion to the National Geographic Field Guide to the Birds of North America","Alderfer, Jonathan","[0792242394]"
"Book of North American Birds","Editors of Reader's Digest","[0895773511]"
"Book of North American Birds","Editors of Reader's Digest","[0895773511]"
"The Audubon Society: Encyclopedia of Animal Life","Buschbaum, et al Ralph","[0517546574]"
"Norwegian-English Dictionary: A Pronouncing and Translating Dictionary of Modern Norwegian (Bokmål and Nynorsk) with a Historical and Grammatical Introduction","Haugen, Einar","[0299038742]"
"Modern Engelsk Svensk och Svensk Engelsk Ordbok (Prisma)",,"[9151815958]"
"Basic Microwaving (Microwave Cooking Library)","Methven, Barbara","[0865735018]"
"The Art of Arranging Flowers: A Complete Guide to Japanese Ikebana","Satō, Shōzō",
"Gospel: The Life of Jesus As Told by the World's Greatest Writers","Pollock, Constance","[0849915449]"
"When Your Parent Becomes Your Child: A Journey of Faith Through My Mother's Dementia","Abraham, Ken",
"Poems of Robert Frost","Frost, Robert",
"Favorite Poems Of Emily Dickinson","Todd, Mabel Loomis","[0517259222]"
"Cup Of Comfort","Sell, Colleen","[158062524X]"
"The Invisible Wall: A Love Story That Broke Barriers","Bernstein, Harry","[0345496108]"
"Beyond Belief: A Protestant pastor's journey from certainty to faith.","Lindman, Mr. Don","[1478399406]"
"Making a Long Story Short","Lindman, Don",
"The View from the River: Reflections on faith, family, and the foibles of life.","Lindman, Don","[1468187767]"
"King Solomon's Mines (World's Best Reading)","Haggard, H. Rider","[0895775530]"
"The Walk West: A Walk Across America 2","Jenkins, Peter","[0688006663]"
"Charles Kuralt's America","Kuralt, Charles","[0399140832]"
"A Walk in the Woods: Rediscovering America on the Appalachian Trail","Bryson, Bill","[0767902513]"
"Saga of Lewis and Clark: Into the Unknown West","Schmidt, Tom","[0789446383]"
"Great Souls: Six Who Changed the Century","Aikman, David","[0849909651]"
"The Look-it-up Book of Presidents","Blassingame, Wyatt","[0679803580]"
"First Ladies (Guild America Books)","Caroli, Betty Boyd","[1568650159]"
"The Tycoons: How Andrew Carnegie, John D. Rockefeller, Jay Gould, and J. P. Morgan Invented the American Supereconomy","Morris, Charles R.","[0805075992]"
"Heroes of History: A Brief History of Civilization from Ancient Times to the Dawn of the Modern Age","Durant, Will","[0743226127]"
"Roots by Alex Haley (2015-11-24)",,
"A Buffalo in the House: The True Story of a Man, an Animal, and the American West","Rosen, R. D.","[1595581650]"
"Affairs of State","Troy, Gil","[0684828200]"
"First Ladies","Truman, Margaret","[0679434399]"
"The American Presidents (9th Edition)","Whitney, David C","[0739416952]"
"Blind Courage","Irwin, Bill","[0941539865]"
"Louisa May Alcott: The Woman Behind Little Women (John MacRae Books)","Reisen, Harriet","[0805082999]"
"John Adams","McCullough, David","[0684813637]"
"The Spy Wore Red: My Adventures as as Undercover Agent in World War II","Aline, Countess of Romanones","[0394556658]"
"Amerigo: The Man Who Gave His Name to America","Fernández-Armesto, Felipe","[1400062810]"
"Gracie: A Love Story","Burns, George","[0399133844]"
"A Year By The Sea: Thoughts of an Unfinished Woman","Anderson, Joan","[0767905938]"
"The Heart of a Woman","Angelou, Maya","[0553380095]"
"West of Kabul, East of New York: An Afghan American Story","Ansary, Tamim","[9780374287573]"
"Desert Queen: The Extraordinary Life of Gertrude Bell: Adventurer, Adviser to Kings, Ally of Lawrence of Arabia","Wallach, Janet","[0385474083]"
"Halfbreed: The Remarkable True Story Of George Bent - Caught Between The Worlds Of The Indian And The White Man","Halaas, David Fridtjof","[0306813203]"
"Love, Lucy (Berkley Boulevard Celebrity Autobiography)","Ball, Lucille",
"The Dream: A Memoir","Bernstein, Harry","[9780345503749]"
"Ada Blackjack: A True Story of Survival in the Arctic","Niven, Jennifer","[0786868635]"
"Boswell's Presumptuous Task: The Making of the Life of Dr. Johnson","Sisman, Adam","[0374115613]"
"Here If You Need Me: A True Story","Braestrup, Kate","[0316066303]"
"Gracie: A Love Story","Burns, George","[0399133844]"
"A Giving Spirit--The Story of Paul W. Brandel",,"[0962606308]"
"Decision Points","Bush, George W.","[0307590615]"
"The Perfect Wife: The Life and Choices of Laura Bush","Gerhart, Ann","[0743243838]"
"Andrew Carnegie","Nasaw, David","[1594201048]"
"The Matriarch: Barbara Bush and the Making of an American Dynasty","Page, Susan","[1538713640]"
"The Education of Little Tree (A Zia Book)","Carter, Forrest","[0826308791]"
"The Carpenter's Apprentice: The Spiritual Biography of Jimmy Carter","Ariail, Dan","[0310200121]"
"His Very Best: Jimmy Carter, a Life","Alter, Jonathan","[1501125486]"
"Living Faith","Carter, Jimmy","[0812927362]"
"Sharing Good Times","Carter, Jimmy","[0743270339]"
"The Virtues of Aging (Library of Contemporary Thought)","Carter, Jimmy","[9780345425928]"
"Keeping Faith: Memoirs of a President","Carter, Jimmy","[1557283303]"
"Catherine the Great","Troyat, Henri","[0880296887]"
"Catherine the Great","Dixon, Simon","[9780060786274]"
"Churchill's Trial: Winston Churchill and the Salvation of Free Government","Arnn, Larry P.","[1595555307]"
"Clementine: The Life of Mrs. Winston Churchill","Purnell, Sonia","[9780525429777]"
"The Place He Made","Clark, Edie","[0679438750]"
"Kitchen Privileges: A Memoir","Clark, Mary Higgins","[0743206053]"
"Cleopatra: A Life","Schiff, Stacy","[0316001929]"
"On the Make: The Rise of Bill Clinton","Oakley, Meredith L.","[0895264935]"
"High Crimes and Misdemeanors: The Case Against Bill Clinton","Coulter, Ann","[0895263602]"
"How Now Shall We Live?","Colson, Charles W.","[0842318089]"
"The House at Sugar Beach: In Search of a Lost African Childhood","Cooper, Helene","[0743266250]"
"Marie Curie and Her Daughters: The Private Lives of Science's First Family (MacSci)","Emling, Shelley","[0230115713]"
"Lords, Ladies and Gentlemen: A Memoir","Daniel, Clifton","[0877955980]"
"My Mother's Keeper","Hyman, B. D.","[068804798X]"
"Walt Disney: Hollywood's Dark Prince","Eliot, Marc","[155972174X]"
"One Soldier's Story: A Memoir","Dole, Bob","[0060763418]"
"Hold On, Mr. President (Thorndike Press Large Print Americana Series)","Donaldson, Sam","[0896218317]"
"The Wizard of Menlo Park: How Thomas Alva Edison Invented the Modern World","Stross, Randall E.","[1400047625]"
"Ike: An American Hero","Korda, Michael","[0060756659]"
"President Is at Camp David","Nelson, W. Dale","[0815603185]"
"Mrs. Ike: Memories and Reflections on the Life of Mamie Eisenhower","Eisenhower, Susan","[0374215146]"
"BOLD SPIRIT Helga Estby's Forgotten Walk Across Victorian America","Hunt, Linda Lawrence","[073945482X]"
"Governess: The Lives and Times of the Real Jane Eyres","Brandon, Ruth","[080271630X]"
"My Story","Sarah, the Duchess of York","[0684835819]"
"George Fabyan: The Tycoon Who Broke Ciphers, Ended Wars, Manipulated Sound, Built a Levitation Machine, and Organized the Modern Research Center","Munson, Richard","[1490345620]"
"The Times of My Life","Ford, Betty","[0060112980]"
"Benjamin Franklin","Morgan, Edmund S.","[0300095325]"
"AMERICAN SOLDIER","Franks, Tommy","[0060731583]"
"Gorgonzola: A Very Stinkysaurus","Palatini, Margie","[0060738979]"
"Eleni","Gage, Nicholas","[0394520939]"
"Presidential Wit and Wisdom","Gross, Charlotte Lee","[1604336099]"
"A Poet's easel: Images Of Lifetime Captured in Poetry","Bush, Sarah M.",
"A Heap o' Lovin","Guest, Edgar A.",
"Helen Steiner Rice's Poems of Faith","Rice, Helen Steiner","[0899520812]"
"Always a Reckoning and Other Poems","Carter, Jimmy","[0812924347]"
"The Five People You Meet in Heaven","Albom, Mitch","[1920798218]"
"It Was on Fire When I Lay Down on It","Fulghum, Robert","[0394580567]"
"Gift From the Sea","Ochiai, Anne Morrow Lindbergh; Keiko","[4651930131]"
"Locked Rooms and Open Doors: Diaries and Letters 1933-1935","Lindbergh, Anne Morrow","[0151529582]"
"Sez Who? Sez Me","Royko, Mike","[9780525241256]"
"Didn't My Skin Used to Fit?","Bolton, Martha","[0764221841]"
"I Feel Bad About My Neck: And Other Thoughts on Being a Woman","Ephron, Nora","[9780307264558]"
"Scandinavian Humor and Other Myths","Anderson, John Louis","[0060972297]"
"Hurry Up and Wait","Blake, Edna","[0966890620]"
"Motherhood: The Second Oldest Profession","Bombeck, Erma","[0070064547]"
"My Favorite Intermissions: Victor Borge's Lives of the Musical Greats and Other Facts You Never Knew You Were Missing","Borge, Victor","[038502651X]"
"I didn't come here to argue","Bracken, Peg",
"Will Rogers: Wise and Witty Sayings of a Great American Humorist","Rogers, Will","[0875290264]"
"Laughing Matters: A Celebration of American Humor","Shalit, Gene","[0385185472]"
"Legacy of a Pack Rat","Graham, Ruth Bell","[0840790856]"
"The Florist's Daughter","Hampl, Patricia","[0151012571]"
"The Annie Dillard Reader","Dillard, Annie","[0060926600]"
"A Tale of Two Cities","Dickens, Charles","[0448058235]"
"Look Who's Laughing!","Spangler, Ann","[031024692X]"
"Reading Lolita in Tehran: A Memoir in Books","Nafisi, Azar","[0812971060]"
"Why To Kill a Mockingbird Matters: What Harper Lee's Book and the Iconic American Film Mean to Us Today","Santopietro, Tom","[1250163757]"
"The New Oxford Book of Christian Verse (Oxford Books of Verse)","Davie, Donald","[0192134264]"
"Thirty Famous One Act Plays","Cerf, Bennett and Van H. Cartmell","[1299143695]"
"The Complete Works of William Shakespeare (Leather-bound Classics)","Shakespeare, William","[9781626860988]"
"Random Acts of Heroic Love","Scheinmann, Danny","[0312538332]"
"Children of Disobedience: The Love Story of Martin Luther and Katharina of Bora","Scheib, Asta","[0824516958]"
"The Discoverers: A History of Man's Search to Know His World and Himself","Boorstin, Daniel J.","[0394726251]"
"The Gifts of the Jews (Hinges of History)","Cahill, Thomas","[0385482485]"
"Sailing the Wine-Dark Sea: Why the Greeks Matter (Hinges of History)","Cahill, Thomas","[0385495536]"
"In the Heart of the Sea: The Tragedy of the Whaleship Essex","Philbrick, Nathaniel","[0670891576]"
"The Life and Times of the Thunderbolt Kid: A Memoir","Bryson, Bill","[9780767919364]"
"The Terrible Hours: The Man Behind the Greatest Submarine Rescue in History","Maas, Peter","[0060194804]"
"On the Road with Francis of Assisi: A Timeless Journey Through Umbria and Tuscany, and Beyond","Francke, Linda Bird","[140006239X]"
"Of Swedish Ways","Lorenzen, Lily","[9780060923846]"
"The Palace of the Snow Queen: Winter Travels in Lapland","Sjoholm, Barbara","[1593761597]"
"River Town: Two Years On The Yangtze","Hessler, Peter","[0060195444]"
"ALAN MOOREHEAD | The Blue Nile | 1st Edition HC 1962 illustrated","Moorehead, Alan",
"A Walk Across America","Jenkins, Peter","[0688034276]"
"In a Sunburned Country","Bryson, Bill","[0767903854]"
"The Canterbury Tales (original-spelling Middle English edition) (Penguin Classics)","Chaucer, Geoffrey","[014042234X]"
"The Oxford Dictionary of Music","Kennedy, Michael","[0198691629]"
"Brewer's Dictionary of Twentieth-Century Phrase and Fable","Pickering, David","[0395616492]"
"Oxford Dictionary Of Quotations - Third Edition",,
"Longman Dictionary of 20th Century Biography","Brigs, Asa","[0582892139]"
"The Encyclopedia of Chicago","Grossman, James R.","[0226310159]"
"Bartlett's Familiar Quotations: A Collection of Passages, Phrases, and Proverbs Traced to Their Sources in Ancient and Modern Literature (17th Edition)","Bartlett, John","[9780316084604]"
"Encyclopedia of the American Revolution","Boatner, Mark Mayo","[0811705781]"
